key,registrationMoment,incidentType,description,severity,draftMode,key:flightAssignment
activityLog-10,2001/07/03 10:00,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,true,flightAssignment-00
activityLog-11,2001/07/03 10:00,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,true,flightAssignment-00
activityLog-12,2001/07/03 10:00,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,true,flightAssignment-00
activityLog-13,2001/07/03 10:00,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,true,flightAssignment-00
activityLog-14,2001/07/03 10:00,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,true,flightAssignment-00
activityLog-15,2001/07/03 10:00,Lorem ipsum dolor sit amet,L,5,true,flightAssignment-00
activityLog-16,2001/07/03 10:00,Lorem ipsum dolor sit amet,Lo,5,true,flightAssignment-00
activityLog-17,2001/07/03 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5,true,flightAssignment-00
activityLog-18,2001/07/03 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5,true,flightAssignment-00
activityLog-19,2001/07/03 10:00,Lorem ipsum dolor sit amet,โลเร็ม อิปซัม,5,true,flightAssignment-00
activityLog-20,2001/07/03 10:00,Lorem ipsum dolor sit amet,لوريم إيبسوم,5,true,flightAssignment-00
activityLog-21,2001/07/03 10:00,Lorem ipsum dolor sit amet,洛伦·伊普森,5,true,flightAssignment-00
activityLog-22,2001/07/03 10:00,Lorem ipsum dolor sit amet,<marquee>Hacked</marquee>,5,true,flightAssignment-00
activityLog-23,2001/07/03 10:00,Lorem ipsum dolor sit amet,<script>alert(‘Hacked!’);</script>,5,true,flightAssignment-00
activityLog-24,2001/07/03 10:00,Lorem ipsum dolor sit amet,' or 'A' = 'A,5,true,flightAssignment-00
activityLog-25,2001/07/03 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0,true,flightAssignment-00
activityLog-26,2001/07/03 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",1,true,flightAssignment-00
activityLog-27,2001/07/03 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9,true,flightAssignment-00
activityLog-28,2001/07/03 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",10,true,flightAssignment-00
activityLog-29,2001/07/03 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,false,flightAssignment-00
activityLog-30,2001/07/03 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,true,flightAssignment-01
